End_year,Name,Release_season,Release_year,Tags
,Demon Slayer: Kimetsu no Yaiba - Entertainment District Arc,Fall ,2021,"Action, Adventure, Fantasy, Shounen, Demons, Historical, Martial Arts, Orphans, Siblings, Swordplay, Based on a Manga, Explicit Violence"
,Fruits Basket the Final Season,Spring,2021,"Drama, Fantasy, Romance, Shoujo, Animal Transformation, Contemporary Fantasy, Curse, Dysfunctional Families, Mental Illness, Orphans, Based on a Manga, Emotional Abuse,, Mature Themes,, Physical Abuse,, Suicide,, Violence,, Domestic Abuse"
,Mo Dao Zu Shi 3,,2021,"Fantasy, Ancient China, Chinese Animation, Cultivation, Xianxia, Based on a Web Novel"
2010,Fullmetal Alchemist: Brotherhood,Spring,2009,"Action, Adventure, Drama, Fantasy, Mystery, Shounen, Conspiracy, Death of a Loved One, Military, Siblings, Based on a Manga, Animal Abuse,, Mature Themes,, Violence,, Domestic Abuse"
,Attack on Titan 3rd Season: Part II,Spring,2019,"Action, Fantasy, Horror, Shounen, Dark Fantasy, Isolated Society, Military, Outside World, Post-apocalyptic, Based on a Manga, Cannibalism,, Explicit Violence"
2021,Jujutsu Kaisen,Fall ,2020,"Action, Horror, Shounen, Curse, Exorcists, Monsters, School Life, Supernatural, Based on a Manga, Explicit Violence"
,Attack on Titan The Final Season: Part II,Winter,2022,"Action, Drama, Fantasy, Horror, Shounen, Dark Fantasy, Military, War, Based on a Manga"
2021,Attack on Titan The Final Season,Winter,2020,"Action, Drama, Fantasy, Horror, Shounen, Dark Fantasy, Military, War, Based on a Manga, Explicit Violence,, Mature Themes,, Physical Abuse,, Suicide"
,Demon Slayer: Kimetsu no Yaiba Movie - Mugen Train,,2020,"Action, Drama, Fantasy, Shounen, Demons, Historical, Martial Arts, Orphans, Siblings, Swordplay, Trains, Based on a Manga, Mature Themes,, Suicide,, Violence"
,Haikyuu!! Karasuno High School vs Shiratorizawa Academy,Fall ,2016,"Shounen, Sports, Animeism, School Club, School Life, Tournaments, Volleyball, Based on a Manga"
