Name,Tags
Demon Slayer: Kimetsu no Yaiba - Entertainment District Arc,"Action, Adventure, Fantasy, Shounen, Demons, Historical, Martial Arts, Orphans, Siblings, Swordplay, Based on a Manga, Explicit Violence"
Fruits Basket the Final Season,"Drama, Fantasy, Romance, Shoujo, Animal Transformation, Contemporary Fantasy, Curse, Dysfunctional Families, Mental Illness, Orphans, Based on a Manga, Emotional Abuse,, Mature Themes,, Physical Abuse,, Suicide,, Violence,, Domestic Abuse"
Mo Dao Zu Shi 3,"Fantasy, Ancient China, Chinese Animation, Cultivation, Xianxia, Based on a Web Novel"
Fullmetal Alchemist: Brotherhood,"Action, Adventure, Drama, Fantasy, Mystery, Shounen, Conspiracy, Death of a Loved One, Military, Siblings, Based on a Manga, Animal Abuse,, Mature Themes,, Violence,, Domestic Abuse"
Attack on Titan 3rd Season: Part II,"Action, Fantasy, Horror, Shounen, Dark Fantasy, Isolated Society, Military, Outside World, Post-apocalyptic, Based on a Manga, Cannibalism,, Explicit Violence"
Jujutsu Kaisen,"Action, Horror, Shounen, Curse, Exorcists, Monsters, School Life, Supernatural, Based on a Manga, Explicit Violence"
Attack on Titan The Final Season: Part II,"Action, Drama, Fantasy, Horror, Shounen, Dark Fantasy, Military, War, Based on a Manga"
Attack on Titan The Final Season,"Action, Drama, Fantasy, Horror, Shounen, Dark Fantasy, Military, War, Based on a Manga, Explicit Violence,, Mature Themes,, Physical Abuse,, Suicide"
Demon Slayer: Kimetsu no Yaiba Movie - Mugen Train,"Action, Drama, Fantasy, Shounen, Demons, Historical, Martial Arts, Orphans, Siblings, Swordplay, Trains, Based on a Manga, Mature Themes,, Suicide,, Violence"
Haikyuu!! Karasuno High School vs Shiratorizawa Academy,"Shounen, Sports, Animeism, School Club, School Life, Tournaments, Volleyball, Based on a Manga"
your name.,"Drama, Romance, Body Swapping, Gender Bender, Opposites Attract, School Life, Supernatural, Original Work"
Haikyuu!! Second Season,"Shounen, Sports, School Club, School Life, Tournaments, Volleyball, Based on a Manga"
Demon Slayer: Kimetsu no Yaiba,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Death of a Loved One, Demons, Historical, Martial Arts, Orphans, Siblings, Swordplay, Based on a Manga, Violence"
Hunter x Hunter (2011),"Action, Adventure, Drama, Fantasy, Shounen, Monsters, Superpowers, Based on a Manga, Violence"
A Silent Voice,"Drama, Shounen, Disability, Melancholy, Mental Illness, School Life, Based on a Manga, Bullying,, Mature Themes,, Suicide"
Violet Evergarden Movie,"Drama, Melancholy, War, Based on a Light Novel, Violence"
Haikyuu!! To the Top: Part II,"Shounen, Sports, Animeism, School Club, Tournaments, Volleyball, Based on a Manga"
"Heaven Official's Blessing Special","BL, Romance, Shounen-ai, Afterlife, Ancient China, Chinese Animation, Demon King, Ghosts, Gods, Interspecies Relationship, Non-Human Protagonists, Opposites Attract, Royalty, Supernatural, Xianxia, Based on a Web Novel"
That Time I Got Reincarnated as a Slime Season 2,"Action, Adventure, Fantasy, Shounen, Cheats, Demons, Isekai, Kingdom Building, Magic, Management, Modern Knowledge, Monsters, Person in a Strange World, Political, Reincarnation, RPG, Slimes, Based on a Manga"
Given,"BL, Drama, Romance, Shounen-ai, Death of a Loved One, Music, noitaminA, Based on a Manga, Mature Themes,, Suicide"
