End_year,Name,Release_season,Release_year
,Demon Slayer: Kimetsu no Yaiba - Entertainment District Arc,Fall ,2021
,Fruits Basket the Final Season,Spring,2021
,Mo Dao Zu Shi 3,,2021
2010,Fullmetal Alchemist: Brotherhood,Spring,2009
,Attack on Titan 3rd Season: Part II,Spring,2019
2021,Jujutsu Kaisen,Fall ,2020
,Attack on Titan The Final Season: Part II,Winter,2022
2021,Attack on Titan The Final Season,Winter,2020
,Demon Slayer: Kimetsu no Yaiba Movie - Mugen Train,,2020
,Haikyuu!! Karasuno High School vs Shiratorizawa Academy,Fall ,2016
,your name.,,2016
2016,Haikyuu!! Second Season,Fall ,2015
,Demon Slayer: Kimetsu no Yaiba,Spring,2019
2014,Hunter x Hunter (2011),Fall ,2011
,A Silent Voice,,2016
,Violet Evergarden Movie,,2020
,Haikyuu!! To the Top: Part II,Fall ,2020
,"Heaven Official's Blessing Special",,2021
,That Time I Got Reincarnated as a Slime Season 2,Winter,2021
,Given,Summer,2019
,Code Geass: Lelouch of the Rebellion R2,Spring,2008
,Mo Dao Zu Shi 2,,2019
,Gintama: The Very Final,,2021
,Link Click,,2021
,Mob Psycho 100 II,Winter,2019
,Haikyuu!! To the Top,Winter,2020
,Fruits Basket 2nd Season,Spring,2020
,The Promised Neverland,Winter,2019
,Spirited Away,,2001
,That Time I Got Reincarnated as a Slime Season 2: Part II,Summer,2021
2021,"Heaven Official's Blessing",,2020
,Ranking of Kings,Fall ,2021
,Mushoku Tensei: Jobless Reincarnation - Part II,Fall ,2021
,Gintama.: Shirogane no Tamashii-hen 2,Summer,2018
2009,Clannad After Story,Fall ,2008
,Mo Dao Zu Shi,,2018
2013,"Gintama': Enchousen",Fall ,2012
,Banana Fish,Summer,2018
,Douluo Dalu 2,,2018
,Gintama Kanketsu-hen: Yorozuya yo Eien Nare,,2013
,Gintama.,Winter,2017
,Gintama.: Shirogane no Tamashii-hen,Winter,2018
,Attack on Titan 3rd Season,Summer,2018
,Steins;Gate,Spring,2011
,Haikyuu!!,Spring,2014
2012,"Gintama'",Spring,2011
,One-Punch Man,Fall ,2015
,Demon Slayer: Kimetsu no Yaiba - Mugen Train,Fall ,2021
2016,Gintama°,Spring,2015
,"Howl's Moving Castle",,2004
,"Natsume's Book of Friends Season 6",Spring,2017
2019,"JoJo's Bizarre Adventure: Golden Wind",Fall ,2018
,"JoJo's Bizarre Adventure: Stone Ocean",Fall ,2021
,Vinland Saga,Summer,2019
,"Natsume's Book of Friends Season 4",Winter,2012
,Assassination Classroom 2nd Season,Winter,2016
,"Natsume's Book of Friends Season 5",Fall ,2016
,My Hero Academia 3,Spring,2018
,Violet Evergarden,Winter,2018
