anime_id,age_rating,age_rating_guide,average_rating,description,episode_count,episode_length,kind,poster_image,season,studio,tags,title,title_jp,total_length,year,year_end
1,R,17+ (violence & profanity),82.47,"In the year 2071, humanity has colonized several of the planets and moons of the solar system leaving the now uninhabitable surface of planet Earth behind. The Inter Solar System Police attempts to keep peace in the galaxy, aided in part by outlaw bounty hunters, referred to as ""Cowboys"". The ragtag team aboard the spaceship Bebop are two such individuals.
Mellow and carefree Spike Spiegel is balanced by his boisterous, pragmatic partner Jet Black as the pair makes a living chasing bounties and collecting rewards. Thrown off course by the addition of new members that they meet in their travels—Ein, a genetically engineered, highly intelligent Welsh Corgi; femme fatale Faye Valentine, an enigmatic trickster with memory loss; and the strange computer whiz kid Edward Wong—the crew embarks on thrilling adventures that unravel each member's dark and mysterious past little by little. 
Well-balanced with high density action and light-hearted comedy, Cowboy Bebop is a space Western classic and an homage to the smooth and improvised music it is named after.

(Source: MAL Rewrite)",26,25,TV,https://media.kitsu.io/anime/poster_images/1/original.jpg?1597604210,Spring,Sunrise,"Action, Adventure, Drama, Sci Fi, Bounty Hunters, Episodic, Noir, Outer Space, Western, Original Work, Drug Use,, Mature Themes,, Nudity,, Violence",Cowboy Bebop,カウボーイビバップ,650,1998,1999
2,R,17+ (violence & profanity),82.27,"Another day, another bounty—such is the life of the often unlucky crew of the Bebop. However, this routine is interrupted when Faye, who is chasing a fairly worthless target on Mars, witnesses an oil tanker suddenly explode, causing mass hysteria. As casualties mount due to a strange disease spreading through the smoke from the blast, a whopping three hundred million woolong price is placed on the head of the supposed perpetrator.
With lives at stake and a solution to their money problems in sight, the Bebop crew springs into action. Spike, Jet, Faye, and Edward, followed closely by Ein, split up to pursue different leads across Alba City. Through their individual investigations, they discover a cover-up scheme involving a pharmaceutical company, revealing a plot that reaches much further than the ragtag team of bounty hunters could have realized.
[Written by MAL Rewrite]",1,114,movie,https://media.kitsu.io/anime/poster_images/2/original.jpg?1597696808,,Bones,"Action, Sci Fi, Bounty Hunters, Noir, Western, Original Work, Violence",Cowboy Bebop: The Movie,カウボーイビバップ天国の扉,114,2001,
3,PG,Teens 13 or older,82.25,"Vash the Stampede is the man with a $$60,000,000 bounty on his head. The reason: he's a merciless villain who lays waste to all those that oppose him and flattens entire cities for fun, garnering him the title ""The Humanoid Typhoon."" He leaves a trail of death and destruction wherever he goes, and anyone can count themselves dead if they so much as make eye contact—or so the rumors say. In actuality, Vash is a huge softie who claims to have never taken a life and avoids violence at all costs.
With his crazy doughnut obsession and buffoonish attitude in tow, Vash traverses the wasteland of the planet Gunsmoke, all the while followed by two insurance agents, Meryl Stryfe and Milly Thompson, who attempt to minimize his impact on the public. But soon, their misadventures evolve into life-or-death situations as a group of legendary assassins are summoned to bring about suffering to the trio. Vash's agonizing past will be unraveled and his morality and principles pushed to the breaking point.
[Written by MAL Rewrite]",26,24,TV,https://media.kitsu.io/anime/poster_images/3/original.jpg?1597698179,Spring,MADHOUSE,"Action, Adventure, Comedy, Drama, Shounen, Desert, Episodic, Guns, Overpowered Main Characters, Western, Based on a Manga, Violence",Trigun,トライガン,624,1998,
4,PG,Teens 13 or older,72.31,"Witches are individuals with special powers like ESP, telekinesis, mind control, etc. (not the typical hogwart and newt potions). Robin, a 15-year-old craft user, arrives from Italy to Japan to work for an organization named STN Japan Division (STN-J) as a replacement for one of STN-J's witch hunters who was recently killed. Unlike other divisions of STN, STN-J tries to capture the witches alive in order to learn why and how they became witches in the first place.
(Source: ANN)",26,25,TV,https://media.kitsu.io/anime/poster_images/4/original.jpg?1597698321,Summer,Sunrise,"Fantasy, Noir, Psychic Powers, Supernatural, Superpowers, Urban Fantasy, Original Work",Witch Hunter Robin,ウィッチハンター ロビン,650,2002,
5,PG,Children,69.08,"It is the dark century and the people are suffering under the rule of the devil, Vandel, who is able to manipulate monsters. The Vandel Busters are a group of people who hunt these devils, and among them, the Zenon Squad is known to be the strongest busters on the continent. A young boy, Beet, dreams of joining the Zenon Squad. However, one day, as a result of Beet's fault, the Zenon squad was defeated by the devil, Beltose. The five dying busters sacrificed their life power into their five weapons, Saiga. After giving their weapons to Beet, they passed away. Years have passed since then and the young Vandel Buster, Beet, begins his adventure to carry out the Zenon Squad's will to put an end to the dark century. ",52,18,TV,https://media.kitsu.io/anime/poster_images/5/original.jpg?1597690768,Fall ,Toei Animation,"Action, Adventure, Fantasy, Shounen, Magic, Monsters, Superpowers, Based on a Manga",Beet the Vandel Buster,冒険王ビィト,936,2004,2005
588,PG,Children,67.86,"In the world of Mushrambo, human life has all but come to an end. After a deadly virus threatened the extinction of mankind, a new race called the Enterrans was created to preserve life on Earth. However, relations between the Enterrans and their creators did not remain peaceful. Soon a war broke out with the Enterrans fighting against the humans and their robots. Ultimately the Enterrans were the victors of this conflict, renaming Earth as Enterra in honor of their victory.
Before the last vestiges of humanity fell, one of the few remaining scientists put his daughter, Yakumo Shindou, into a sleep chamber. His hope was that his daughter would one day reawaken and find the human sanctuary known as Shinzo, reviving humanity and restoring peace between humans and Enterrans. Centuries have passed since the war; Yakumo now awakens and meets an Enterran named Mashura who pledges to assist in her quest. Also joined by the Enterrans Sago and Kutal, the group must now work to locate Yakumo's missing memories and locate Shinzo. But not every Enterran is as kind as Yakumo's new friends and some are prepared to commit any atrocity to prevent the return of humanity.",32,0,TV,https://media.kitsu.io/anime/poster_images/1018/original.jpg?1408442862,Winter,Toei Animation,"Action, Adventure, Family Friendly, Post-apocalyptic, Original Work",Shinzo,マシュランボー,0,2000,
6,PG,Teens 13 or older,78.34,"Sena is like any other shy kid starting high school; he's just trying to survive. Constantly bullied, he's accustomed to running away.
Surviving high school is about to become a lot more difficult after Hiruma, captain of the school's American football team, witnesses Sena's incredible agility and speed during an escape from some bullies. Hiruma schemes to make Sena the running back of his school team, The Devil Bats, hoping that it will turn around the squad's fortunes from being the laughingstock of Japan's high school leagues, to title contender.
To protect his precious star player from rivaling recruiters, he enlists Sena as ""team secretary,"" giving him a visored helmet and the nickname ""Eyeshield 21"" to hide his identity.
The Devilbats will look to make their way to the Christmas Bowl, an annual tournament attended by the best football teams in Japan, with ""Eyeshield 21"" leading the way. Will they be able to win the Christmas Bowl? Will Sena be able to transform from a timid, undersized freshman to an all-star player? Put on your pads and helmet to find out!",145,23,TV,https://media.kitsu.io/anime/poster_images/6/original.jpg?1597698823,Spring,Gallop,"Action, Comedy, Drama, Shounen, Sports, Football, School Club, School Life, Tournaments, Based on a Manga, Mature Themes,, Physical Abuse",Eyeshield 21,アイシールド21,3335,2005,2008
7,PG,Teens 13 or older,79.50,"Yuuta, Takumi, and Shinobu share a six-tatami room apartment with no bath. The rent is low and it's perfect for poor college students such as themselves. Shinobu is a mysterious, quirky person, who does things on a whim. Takumi is passionate both in work and love, and Yuuta is a simple person with simple dreams and desires. That is, until he meets Hagumi, a petite girl with enormous amount of talent. Hagumi is fondly called Hagu by Shuuji, who serves as Hagu's guardian. Hagu meets Ayumi, nicknamed Ayu, and they become close friends almost instantly. Meanwhile, Ayu falls for one of the boys...
The joys of falling in love, the pain of letting go, discovering one's self, and finding the courage to move on—these are some of the things that the characters in Hachimitsu to Clover experience as they take part in the play staged by fate.",24,23,TV,https://media.kitsu.io/anime/poster_images/7/original.jpg?1597697102,Spring,J.C.Staff,"Comedy, Drama, Josei, Romance, Art, Art School, College, Coming of Age, Love Triangle, noitaminA, School Life, Unrequited Love, Based on a Manga",Honey and Clover,ハチミツとクローバー,552,2005,
8,PG,Teens 13 or older,74.01,"Kyosuke Kano has lived under the shadow of his successful brother Seisuke all his life who is a professional soccer player. Tired of being compared and downgraded at, he abandoned playing soccer until a boy from his new highschool discovered him and asked him to join their team. Kyosuke joins it and befriends two other first year players named Rodrigo and Sakai with the dream of becomming professional soccer players themselves.
(Source: ANN)",52,18,TV,https://media.kitsu.io/anime/poster_images/8/original.jpg?1597604242,Fall ,Nippon Animation,"Shounen, Sports, Soccer, Based on a Manga",Hungry Heart: Wild Striker,ハングリーハート Wild Striker,936,2002,2003
9,PG,Teens 13 or older,80.18,"Takumi Fujiwara and brothers Keisuke and Ryousuke Takahashi have formed ""Project D,"" a racing team aimed at bringing their driving skills to their full potential outside their prefecture. Using the internet, Project D issues challenges to other racing teams and posts results of their races. Managed by Ryousuke, the team has Takumi engaging in downhill battles with his AE86, while Keisuke challenges opponents uphill. Among their rivals are the Seven-Star Leaf (SSR) and Todo-juku.",24,27,TV,https://media.kitsu.io/anime/poster_images/9/original.jpeg?1597604243,Spring,A.C.G.T,"Action, Drama, Seinen, Sports, Cars, Racing, Based on a Manga",Initial D Fourth Stage,頭文字〈イニシャル〉D FOURTH STAGE,648,2004,2006
